,provincia,localidad,cantidad_casos,evento,grupo_etario,semanas_epidemiologicas,año
175,Salta,Grl. José de San Martín,19,Dengue,De 35 a 44 años,16,2022
189,Salta,Grl. José de San Martín,16,Dengue,De 45 a 65 años,15,2022
162,Salta,Grl. José de San Martín,15,Dengue,De 25 a 34 años,17,2022
159,Salta,Grl. José de San Martín,14,Dengue,De 25 a 34 años,14,2022
190,Salta,Grl. José de San Martín,14,Dengue,De 45 a 65 años,16,2022
161,Salta,Grl. José de San Martín,13,Dengue,De 25 a 34 años,16,2022
163,Salta,Grl. José de San Martín,13,Dengue,De 25 a 34 años,18,2022
176,Salta,Grl. José de San Martín,13,Dengue,De 35 a 44 años,17,2022
192,Salta,Grl. José de San Martín,12,Dengue,De 45 a 65 años,18,2022
146,Salta,Grl. José de San Martín,11,Dengue,De 20 a 24 años,14,2022
160,Salta,Grl. José de San Martín,11,Dengue,De 25 a 34 años,15,2022
173,Salta,Grl. José de San Martín,11,Dengue,De 35 a 44 años,14,2022
171,Salta,Grl. José de San Martín,11,Dengue,De 35 a 44 años,12,2022
191,Salta,Grl. José de San Martín,11,Dengue,De 45 a 65 años,17,2022
114,Salta,Grl. José de San Martín,10,Dengue,De 10 a 14 años,14,2022
117,Salta,Grl. José de San Martín,10,Dengue,De 10 a 14 años,17,2022
185,Salta,Grl. José de San Martín,10,Dengue,De 45 a 65 años,11,2022
188,Salta,Grl. José de San Martín,10,Dengue,De 45 a 65 años,14,2022
131,Salta,Grl. José de San Martín,10,Dengue,De 15 a 19 años,16,2022
174,Salta,Grl. José de San Martín,9,Dengue,De 35 a 44 años,15,2022
116,Salta,Grl. José de San Martín,9,Dengue,De 10 a 14 años,16,2022
130,Salta,Grl. José de San Martín,9,Dengue,De 15 a 19 años,15,2022
177,Salta,Grl. José de San Martín,9,Dengue,De 35 a 44 años,18,2022
147,Salta,Grl. José de San Martín,9,Dengue,De 20 a 24 años,15,2022
148,Salta,Grl. José de San Martín,8,Dengue,De 20 a 24 años,16,2022
115,Salta,Grl. José de San Martín,8,Dengue,De 10 a 14 años,15,2022
151,Salta,Grl. José de San Martín,8,Dengue,De 20 a 24 años,19,2022
172,Salta,Grl. José de San Martín,8,Dengue,De 35 a 44 años,13,2022
157,Salta,Grl. José de San Martín,7,Dengue,De 25 a 34 años,12,2022
201,Salta,Grl. José de San Martín,7,Dengue,De 5 a 9 años,14,2022
204,Salta,Grl. José de San Martín,7,Dengue,De 5 a 9 años,17,2022
