provincia,localidad,cantidad_casos,evento,grupo_etario,semanas_epidemiologicas,año
CABA,CABA,1,Dengue,De 45 a 65 años,8,2022
CABA,CABA,1,Dengue,De 20 a 24 años,9,2022
CABA,CABA,1,Dengue,De 35 a 44 años,16,2022
CABA,CABA,1,Dengue,De 10 a 14 años,49,2022
CABA,CABA,1,Dengue,De 35 a 44 años,48,2022
CABA,CABA,1,Dengue,De 45 a 65 años,48,2022
CABA,CABA,2,Dengue,De 45 a 65 años,18,2022
CABA,CABA,1,Dengue,De 45 a 65 años,48,2022
Buenos Aires,Almirante Brown,1,Dengue,De 45 a 65 años,14,2022
Buenos Aires,Ensenada,1,Dengue,De 25 a 34 años,17,2022
Buenos Aires,Ezeiza,1,Dengue,De 25 a 34 años,32,2022
Buenos Aires,General San Martín,1,Dengue,De 5 a 9 años,40,2022
Buenos Aires,Ituzaingó,1,Dengue,De 45 a 65 años,10,2022
Buenos Aires,Ituzaingó,1,Dengue,Mayores de 65 años,11,2022
Buenos Aires,La Matanza,1,Dengue,De 10 a 14 años,17,2022
Buenos Aires,La Matanza,1,Dengue,De 10 a 14 años,7,2022
Buenos Aires,La Matanza,2,Dengue,De 10 a 14 años,8,2022
Buenos Aires,La Matanza,2,Dengue,De 10 a 14 años,9,2022
Buenos Aires,La Matanza,1,Dengue,De 10 a 14 años,10,2022
Buenos Aires,La Matanza,1,Dengue,De 10 a 14 años,13,2022
Buenos Aires,La Matanza,2,Dengue,De 10 a 14 años,14,2022
Buenos Aires,La Matanza,2,Dengue,De 15 a 19 años,9,2022
Buenos Aires,La Matanza,2,Dengue,De 15 a 19 años,10,2022
Buenos Aires,La Matanza,2,Dengue,De 15 a 19 años,12,2022
Buenos Aires,La Matanza,3,Dengue,De 15 a 19 años,13,2022
Buenos Aires,La Matanza,3,Dengue,De 15 a 19 años,15,2022
Buenos Aires,La Matanza,2,Dengue,De 15 a 19 años,16,2022
Buenos Aires,La Matanza,2,Dengue,De 15 a 19 años,17,2022
Buenos Aires,La Matanza,1,Dengue,De 15 a 19 años,20,2022
Buenos Aires,La Matanza,1,Dengue,De 2 a 4 años,14,2022
Buenos Aires,La Matanza,1,Dengue,De 20 a 24 años,10,2022
Buenos Aires,La Matanza,1,Dengue,De 20 a 24 años,11,2022
Buenos Aires,La Matanza,2,Dengue,De 20 a 24 años,12,2022
